ticker,estrategia,direccion,fecha_entrada,fecha_salida,dias_aguantados,precio_entrada,strike,prima_entrada,prima_salida,iv_estimada,mult,pct,dolares_x_contrato,toco_50,dia_50,max_mult
MSFT,tres_semanas,call,2019-01-04T00:00:00,2019-01-25T00:00:00,21.0,94.95,100.64,2.657,0.0,0.526,0.0,-100.0,-265.73,False,,1.08
MSFT,tres_semanas,call,2019-01-10T00:00:00,2019-01-31T00:00:00,21.0,96.5,102.29,2.393,0.0,0.49,0.0,-100.0,-239.28,False,,1.21
MSFT,tres_semanas,call,2019-01-15T00:00:00,2019-02-05T00:00:00,21.0,97.82,103.69,2.423,0.0,0.49,0.0,-100.0,-242.27,False,,1.25
MSFT,tres_semanas,call,2019-02-05T00:00:00,2019-02-26T00:00:00,21.0,99.88,105.87,0.987,0.0,0.309,0.0,-100.0,-98.73,False,,1.0
MSFT,tres_semanas,call,2019-05-29T00:00:00,2019-06-19T00:00:00,21.0,117.31,124.35,0.775,2.509,0.262,3.238,223.8,173.42,True,9.0,3.94
MSFT,tres_semanas,call,2019-06-04T00:00:00,2019-06-25T00:00:00,21.0,115.64,122.58,1.009,2.159,0.293,2.14,114.0,115.01,True,1.0,6.74
MSFT,tres_semanas,call,2019-08-15T00:00:00,2019-09-05T00:00:00,21.0,125.94,133.49,1.244,1.129,0.309,0.908,-9.2,-11.41,True,4.0,1.82
MSFT,tres_semanas,call,2019-08-26T00:00:00,2019-09-16T00:00:00,21.0,127.6,135.26,1.694,0.0,0.353,0.0,-100.0,-169.4,False,,1.27
MSFT,tres_semanas,call,2019-09-04T00:00:00,2019-09-25T00:00:00,21.0,129.66,137.44,1.194,0.0,0.3,0.0,-100.0,-119.42,False,,1.44
MSFT,tres_semanas,call,2019-09-10T00:00:00,2019-10-01T00:00:00,21.0,128.2,135.89,1.082,0.0,0.289,0.0,-100.0,-108.2,False,,1.5
MSFT,tres_semanas,call,2020-03-30T00:00:00,2020-04-20T00:00:00,21.0,151.87,160.99,15.361,4.941,1.305,0.322,-67.8,-1042.01,False,,1.0
MSFT,tres_semanas,call,2020-04-02T00:00:00,2020-04-23T00:00:00,21.0,147.16,155.99,14.665,6.491,1.289,0.443,-55.7,-817.44,False,,1.28
MSFT,tres_semanas,call,2020-09-17T00:00:00,2020-10-08T00:00:00,21.0,193.33,204.93,4.648,0.0,0.481,0.0,-100.0,-464.83,False,,1.09
MSFT,tres_semanas,call,2020-09-25T00:00:00,2020-10-16T00:00:00,21.0,198.01,209.89,4.919,0.0,0.491,0.0,-100.0,-491.9,False,,1.04
MSFT,tres_semanas,call,2020-10-05T00:00:00,2020-10-26T00:00:00,21.0,200.45,212.48,4.029,3.308,0.436,0.821,-17.9,-72.1,True,7.0,1.75
MSFT,tres_semanas,call,2020-11-24T00:00:00,2020-12-15T00:00:00,21.0,204.3,216.56,3.703,0.0,0.413,0.0,-100.0,-370.31,False,,1.0
MSFT,tres_semanas,call,2020-12-11T00:00:00,2020-12-31T00:00:00,20.0,203.72,215.95,0.349,0.477,0.172,1.369,36.9,12.84,True,5.0,4.73
MSFT,tres_semanas,call,2021-01-13T00:00:00,2021-02-03T00:00:00,21.0,206.67,219.07,1.253,7.752,0.254,6.185,518.5,649.82,True,7.0,10.42
MSFT,tres_semanas,call,2021-01-19T00:00:00,2021-02-09T00:00:00,21.0,206.76,219.17,1.247,8.462,0.253,6.786,578.6,721.54,True,1.0,10.99
MSFT,tres_semanas,call,2021-03-22T00:00:00,2021-04-12T00:00:00,21.0,225.96,239.51,2.349,4.638,0.316,1.974,97.4,228.87,True,14.0,2.71
MSFT,tres_semanas,call,2021-03-26T00:00:00,2021-04-16T00:00:00,21.0,226.43,240.01,2.236,7.079,0.309,3.166,216.6,484.28,True,10.0,4.31
MSFT,tres_semanas,call,2021-05-14T00:00:00,2021-06-04T00:00:00,21.0,237.6,251.86,1.6,0.0,0.264,0.0,-100.0,-160.04,False,,1.0
MSFT,tres_semanas,call,2021-05-19T00:00:00,2021-06-09T00:00:00,21.0,233.32,247.32,1.562,1.409,0.263,0.902,-9.8,-15.29,True,5.0,1.9
MSFT,tres_semanas,call,2021-05-24T00:00:00,2021-06-14T00:00:00,21.0,240.67,255.11,1.856,0.0,0.278,0.0,-100.0,-185.64,False,,1.04
MSFT,tres_semanas,call,2021-06-04T00:00:00,2021-06-25T00:00:00,21.0,240.68,255.12,1.514,1.149,0.257,0.759,-24.1,-36.44,True,10.0,1.52
MSFT,tres_semanas,call,2021-10-01T00:00:00,2021-10-22T00:00:00,21.0,277.98,294.66,1.661,2.76,0.252,1.662,66.2,109.91,True,13.0,2.69
MSFT,tres_semanas,call,2021-10-06T00:00:00,2021-10-27T00:00:00,21.0,281.84,298.75,2.362,7.828,0.288,3.314,231.4,546.55,True,9.0,5.08
MSFT,tres_semanas,call,2021-12-22T00:00:00,2022-01-12T00:00:00,21.0,320.97,340.23,4.059,0.0,0.345,0.0,-100.0,-405.9,False,,1.37
MSFT,tres_semanas,call,2022-02-01T00:00:00,2022-02-22T00:00:00,21.0,297.43,315.27,4.107,0.0,0.36,0.0,-100.0,-410.68,False,,1.28
MSFT,tres_semanas,call,2022-02-04T00:00:00,2022-02-25T00:00:00,21.0,294.71,312.39,4.322,0.0,0.37,0.0,-100.0,-432.19,False,,1.07
MSFT,tres_semanas,call,2022-02-24T00:00:00,2022-03-17T00:00:00,21.0,284.36,301.43,5.229,0.0,0.416,0.0,-100.0,-522.89,False,,1.11
MSFT,tres_semanas,call,2022-03-02T00:00:00,2022-03-23T00:00:00,21.0,289.77,307.15,5.097,0.0,0.406,0.0,-100.0,-509.73,False,,1.0
MSFT,tres_semanas,call,2022-03-15T00:00:00,2022-04-05T00:00:00,21.0,277.18,293.81,5.836,8.139,0.447,1.394,39.4,230.24,True,3.0,2.41
