ticker,estrategia,direccion,fecha_entrada,fecha_salida,dias_aguantados,precio_entrada,strike,prima_entrada,prima_salida,iv_estimada,mult,pct,dolares_x_contrato,toco_50,dia_50,max_mult
AAPL,piso_fuerte,call,2017-07-07T00:00:00,2017-07-21T00:00:00,14.0,33.45,34.45,0.335,0.503,0.268,1.5,50.0,16.78,True,7.0,2.0
AAPL,piso_fuerte,call,2017-10-02T00:00:00,2017-10-16T00:00:00,14.0,35.83,36.9,0.173,0.339,0.189,1.957,95.7,16.59,True,14.0,1.96
AAPL,piso_fuerte,call,2017-10-05T00:00:00,2017-10-19T00:00:00,14.0,36.19,37.28,0.194,0.0,0.197,0.0,-100.0,-19.37,False,,1.41
AAPL,piso_fuerte,call,2017-10-24T00:00:00,2017-11-07T00:00:00,14.0,36.59,37.69,0.108,1.81,0.155,16.806,1580.6,170.23,True,3.0,28.1
AAPL,piso_fuerte,call,2018-02-14T00:00:00,2018-02-28T00:00:00,14.0,39.28,40.46,0.734,1.318,0.389,1.795,79.5,58.36,True,1.0,2.19
AAPL,piso_fuerte,call,2018-03-26T00:00:00,2018-04-09T00:00:00,14.0,40.55,41.77,0.463,0.0,0.289,0.0,-100.0,-46.25,False,,1.0
AAPL,piso_fuerte,call,2018-04-03T00:00:00,2018-04-17T00:00:00,14.0,39.52,40.71,0.498,0.94,0.305,1.89,89.0,44.27,True,1.0,2.26
AAPL,piso_fuerte,call,2018-05-01T00:00:00,2018-05-15T00:00:00,14.0,39.69,40.88,0.529,2.184,0.316,4.129,312.9,165.48,True,1.0,7.09
AAPL,piso_fuerte,call,2018-07-02T00:00:00,2018-07-16T00:00:00,14.0,44.1,45.43,0.111,0.086,0.147,0.769,-23.1,-2.57,True,7.0,1.54
AAPL,piso_fuerte,call,2018-07-06T00:00:00,2018-07-20T00:00:00,14.0,44.29,45.62,0.173,0.137,0.173,0.79,-21.0,-3.63,True,3.0,1.58
AAPL,piso_fuerte,call,2018-12-03T00:00:00,2018-12-17T00:00:00,14.0,43.85,45.17,1.138,0.0,0.486,0.0,-100.0,-113.75,False,,1.0
AAPL,piso_fuerte,call,2018-12-10T00:00:00,2018-12-24T00:00:00,14.0,40.24,41.45,1.053,0.0,0.489,0.0,-100.0,-105.27,False,,1.0
AAPL,piso_fuerte,call,2019-01-04T00:00:00,2019-01-18T00:00:00,14.0,35.18,36.23,1.31,0.978,0.633,0.747,-25.3,-33.17,False,,1.17
AAPL,piso_fuerte,call,2019-01-15T00:00:00,2019-01-29T00:00:00,14.0,36.32,37.41,1.348,0.0,0.632,0.0,-100.0,-134.77,False,,1.15
AAPL,piso_fuerte,call,2019-02-04T00:00:00,2019-02-15T00:00:00,11.0,40.63,41.85,0.69,0.138,0.366,0.2,-80.0,-55.18,False,,1.35
