ticker,estrategia,direccion,fecha_entrada,fecha_salida,dias_aguantados,precio_entrada,strike,prima_entrada,prima_salida,iv_estimada,mult,pct,dolares_x_contrato,toco_50,dia_50,max_mult
AAPL,piso_fuerte,call,2017-07-07T00:00:00,2017-07-21T00:00:00,14.0,33.45,33.95,0.504,0.907,0.268,1.799,79.9,40.3,True,7.0,2.2
AAPL,piso_fuerte,call,2017-10-02T00:00:00,2017-10-16T00:00:00,14.0,35.83,36.36,0.326,0.879,0.189,2.698,169.8,55.34,True,14.0,2.7
AAPL,piso_fuerte,call,2017-10-05T00:00:00,2017-10-19T00:00:00,14.0,36.19,36.74,0.35,0.297,0.197,0.849,-15.1,-5.27,True,11.0,1.93
AAPL,piso_fuerte,call,2017-10-24T00:00:00,2017-11-07T00:00:00,14.0,36.59,37.14,0.242,2.283,0.155,9.433,843.3,204.05,True,3.0,14.78
AAPL,piso_fuerte,call,2018-02-14T00:00:00,2018-02-28T00:00:00,14.0,39.28,39.87,0.957,1.775,0.389,1.854,85.4,81.8,True,1.0,2.26
AAPL,piso_fuerte,call,2018-03-26T00:00:00,2018-04-09T00:00:00,14.0,40.55,41.16,0.674,0.0,0.289,0.0,-100.0,-67.38,False,,1.0
AAPL,piso_fuerte,call,2018-04-03T00:00:00,2018-04-17T00:00:00,14.0,39.52,40.12,0.706,1.436,0.305,2.035,103.5,73.04,True,2.0,2.43
AAPL,piso_fuerte,call,2018-05-01T00:00:00,2018-05-15T00:00:00,14.0,39.69,40.28,0.743,2.674,0.316,3.597,259.7,193.07,True,1.0,5.85
AAPL,piso_fuerte,call,2018-07-02T00:00:00,2018-07-16T00:00:00,14.0,44.1,44.76,0.268,0.34,0.147,1.271,27.1,7.26,True,7.0,1.72
AAPL,piso_fuerte,call,2018-07-06T00:00:00,2018-07-20T00:00:00,14.0,44.29,44.95,0.351,0.349,0.173,0.993,-0.7,-0.25,True,3.0,1.54
AAPL,piso_fuerte,call,2018-12-03T00:00:00,2018-12-17T00:00:00,14.0,43.85,44.51,1.398,0.0,0.486,0.0,-100.0,-139.81,False,,1.0
AAPL,piso_fuerte,call,2018-12-10T00:00:00,2018-12-24T00:00:00,14.0,40.24,40.84,1.294,0.0,0.489,0.0,-100.0,-129.39,False,,1.0
AAPL,piso_fuerte,call,2019-01-04T00:00:00,2019-01-18T00:00:00,14.0,35.18,35.7,1.527,1.508,0.633,0.988,-1.2,-1.86,False,,1.19
AAPL,piso_fuerte,call,2019-01-15T00:00:00,2019-01-29T00:00:00,14.0,36.32,36.86,1.573,0.0,0.632,0.0,-100.0,-157.26,False,,1.16
AAPL,piso_fuerte,call,2019-02-04T00:00:00,2019-02-15T00:00:00,11.0,40.63,41.24,0.917,0.288,0.366,0.314,-68.6,-62.92,False,,1.32
AAPL,piso_fuerte,call,2019-02-08T00:00:00,2019-02-22T00:00:00,14.0,40.61,41.22,0.948,0.0,0.377,0.0,-100.0,-94.83,False,,1.0
AAPL,piso_fuerte,call,2019-02-19T00:00:00,2019-03-05T00:00:00,14.0,40.73,41.34,0.905,0.486,0.362,0.537,-46.3,-41.93,False,,1.1
AAPL,piso_fuerte,call,2019-03-18T00:00:00,2019-04-01T00:00:00,14.0,44.8,45.47,0.387,0.683,0.182,1.766,76.6,29.63,True,3.0,3.28
AAPL,piso_fuerte,call,2019-06-06T00:00:00,2019-06-20T00:00:00,14.0,44.31,44.97,1.055,2.176,0.382,2.062,106.2,112.07,True,1.0,2.6
AAPL,piso_fuerte,call,2019-07-23T00:00:00,2019-08-06T00:00:00,14.0,49.95,50.7,0.58,0.0,0.222,0.0,-100.0,-58.0,False,,1.27
AAPL,piso_fuerte,call,2019-08-07T00:00:00,2019-08-21T00:00:00,14.0,47.61,48.32,0.925,2.069,0.325,2.236,123.6,114.4,True,1.0,2.96
AAPL,piso_fuerte,call,2019-08-13T00:00:00,2019-08-27T00:00:00,14.0,50.18,50.93,1.171,0.0,0.376,0.0,-100.0,-117.09,False,,1.0
AAPL,piso_fuerte,call,2020-03-04T00:00:00,2020-03-18T00:00:00,14.0,73.08,74.18,3.058,0.0,0.614,0.0,-100.0,-305.8,False,,1.0
AAPL,piso_fuerte,call,2020-03-26T00:00:00,2020-04-09T00:00:00,14.0,62.39,63.32,5.628,1.374,1.233,0.244,-75.6,-425.38,False,,1.0
AAPL,piso_fuerte,call,2020-05-15T00:00:00,2020-05-29T00:00:00,14.0,74.48,75.6,1.513,1.996,0.337,1.32,32.0,48.35,True,5.0,1.74
