ticker,estrategia,direccion,fecha_entrada,fecha_salida,dias_aguantados,precio_entrada,strike,prima_entrada,prima_salida,iv_estimada,mult,pct,dolares_x_contrato,toco_50,dia_50,max_mult
AAPL,piso_fuerte,call,2017-07-07T00:00:00,2017-07-21T00:00:00,14.0,33.45,36.8,0.027,0.0,0.268,0.0,-100.0,-2.71,False,,1.0
AAPL,piso_fuerte,call,2018-02-14T00:00:00,2018-02-28T00:00:00,14.0,39.28,43.21,0.165,0.176,0.389,1.062,6.2,1.03,True,1.0,2.12
AAPL,piso_fuerte,call,2018-03-26T00:00:00,2018-04-09T00:00:00,14.0,40.55,44.61,0.048,0.0,0.289,0.0,-100.0,-4.85,False,,1.0
AAPL,piso_fuerte,call,2018-04-03T00:00:00,2018-04-17T00:00:00,14.0,39.52,43.48,0.062,0.055,0.305,0.883,-11.7,-0.72,True,1.0,1.97
AAPL,piso_fuerte,call,2018-05-01T00:00:00,2018-05-15T00:00:00,14.0,39.69,43.66,0.072,0.273,0.316,3.773,277.3,20.07,True,1.0,17.21
AAPL,piso_fuerte,call,2018-12-03T00:00:00,2018-12-17T00:00:00,14.0,43.85,48.24,0.375,0.0,0.486,0.0,-100.0,-37.47,False,,1.0
AAPL,piso_fuerte,call,2018-12-10T00:00:00,2018-12-24T00:00:00,14.0,40.24,44.26,0.351,0.0,0.489,0.0,-100.0,-35.08,False,,1.0
AAPL,piso_fuerte,call,2019-01-04T00:00:00,2019-01-18T00:00:00,14.0,35.18,38.69,0.594,0.0,0.633,0.0,-100.0,-59.37,False,,1.04
AAPL,piso_fuerte,call,2019-01-15T00:00:00,2019-01-29T00:00:00,14.0,36.32,39.95,0.61,0.0,0.632,0.0,-100.0,-60.97,False,,1.1
AAPL,piso_fuerte,call,2019-02-04T00:00:00,2019-02-15T00:00:00,11.0,40.63,44.7,0.136,0.001,0.366,0.006,-99.4,-13.51,False,,1.45
AAPL,piso_fuerte,call,2019-02-08T00:00:00,2019-02-22T00:00:00,14.0,40.61,44.67,0.152,0.0,0.377,0.0,-100.0,-15.19,False,,1.0
AAPL,piso_fuerte,call,2019-02-19T00:00:00,2019-03-05T00:00:00,14.0,40.73,44.8,0.131,0.0,0.362,0.0,-100.0,-13.09,False,,1.06
AAPL,piso_fuerte,call,2019-06-06T00:00:00,2019-06-20T00:00:00,14.0,44.31,48.74,0.174,0.159,0.382,0.91,-9.0,-1.57,True,1.0,2.22
AAPL,piso_fuerte,call,2019-07-23T00:00:00,2019-08-06T00:00:00,14.0,49.95,54.95,0.013,0.0,0.222,0.0,-100.0,-1.27,False,,1.0
